"rank","name","pop2021","pop2010","change","density"
"1","Los Angeles","3983540","3795510","0.0495","3279.7405"
"2","San Diego","1427720","1305910","0.0933","1691.5753"
"3","San Jose","1009340","954940","0.0570","2191.7350"
"4","San Francisco","883255","805505","0.0965","7270.9050"
"5","Fresno","537100","497769","0.0790","1807.5898"
"6","Sacramento","525398","467286","0.1244","2075.6956"
"7","Long Beach","456154","462431","-0.0136","3474.0826"
"8","Oakland","440981","391406","0.1267","3046.2273"
"9","Bakersfield","389007","348987","0.1147","1002.9288"
"10","Anaheim","349699","336760","0.0384","2683.2017"
"11","Riverside","334772","305466","0.0959","1590.6832"
"12","Santa Ana","333130","325327","0.0240","4700.9301"
"13","Stockton","314835","292888","0.0749","1955.1812"
"14","Irvine","298739","213450","0.3996","1757.7742"
"15","Chula Vista","281838","244648","0.1520","2192.1147"
"16","Fremont","247708","214553","0.1545","1234.6324"
"17","Moreno Valley","221387","194240","0.1398","1667.6359"
"18","Fontana","217237","197317","0.1010","1947.3533"
"19","Modesto","216810","203301","0.0664","1947.8209"
"20","San Bernardino","214706","210637","0.0193","1334.7383"
"21","Santa Clarita","211839","208822","0.0144","1155.9857"
"22","Oxnard","208101","198539","0.0482","3028.8533"
"23","Huntington Beach","197417","191296","0.0320","2822.8076"
"24","Glendale","196533","191720","0.0251","2490.3129"
"25","Ontario","193594","164377","0.1777","1496.0550"
"26","Elk Grove","179119","153375","0.1679","1645.3465"
"27","Rancho Cucamonga","178119","166226","0.0715","1714.2981"
"28","Santa Rosa","176759","175238","0.0087","1605.0906"
"29","Oceanside","175710","168079","0.0454","1644.4395"
"30","Corona","172652","153052","0.1281","1667.1205"
"31","Garden Grove","170542","171181","-0.0037","3666.8444"
"32","Hayward","158089","144835","0.0915","1340.4075"
"33","Lancaster","155559","156824","-0.0081","637.0487"
"34","Salinas","155101","150887","0.0279","2556.0776"
"35","Palmdale","152921","152936","-0.0001","556.6107"
"36","Sunnyvale","152495","140462","0.0857","2672.6595"
"37","Escondido","151289","144440","0.0474","1565.4305"
"38","Pomona","151223","149107","0.0142","2540.5468"
"39","Roseville","146594","119916","0.2225","1284.0763"
"40","Torrance","141364","145154","-0.0261","2659.7028"
"41","Pasadena","141275","137111","0.0304","2375.8512"
"42","Fullerton","137350","135291","0.0152","2364.1944"
"43","Orange","137109","137103","0.0000","2062.5897"
"44","Visalia","136959","124869","0.0968","1394.3537"
"45","Santa Clara","132925","116761","0.1384","2815.9750"
"46","Concord","128399","122505","0.0481","1622.4430"
"47","Simi Valley","125963","124463","0.0121","1171.0734"
"48","Thousand Oaks","125881","126732","-0.0067","879.4687"
"49","Victorville","123251","116278","0.0600","646.4032"
"50","Vallejo","121722","116137","0.0481","1524.6219"
"51","Chico","121219","86783","0.3968","1398.6641"
"52","East Los Angeles","121187","126496","-0.0420","6282.7000"
"53","Berkeley","120763","112889","0.0697","4451.6983"
"54","Clovis","120104","96386","0.2461","1824.9864"
"55","Murrieta","119239","104229","0.1440","1369.6910"
"56","Fairfield","118043","105598","0.1179","1106.4318"
"57","El Monte","115845","113677","0.0191","4677.5066"
"58","Carlsbad","115110","105674","0.0893","1177.3201"
"59","Temecula","115055","100703","0.1425","1192.0006"
"60","Costa Mesa","112405","110221","0.0198","2747.6100"
"61","Jurupa Valley","111953","95590","0.1712","1006.6177"
"62","Antioch","111350","103080","0.0802","1464.8270"
"63","Richmond","111323","103631","0.0742","1430.1057"
"64","Downey","109548","111785","-0.0200","3408.8024"
"65","Santa Maria","107353","99689","0.0769","1817.4508"
"66","Inglewood","106377","109658","-0.0299","4529.3985"
"67","Ventura","105856","107435","-0.0147","1867.7658"
"68","Daly City","105102","101262","0.0379","5310.9446"
"69","Rialto","104114","99329","0.0482","1675.1054"
"70","San Mateo","103520","97383","0.0630","3283.9201"
"71","West Covina","103375","106123","-0.0259","2488.1699"
"72","Vista","103346","93401","0.1065","2128.3922"
"73","Arden-Arcade","102864","92186","0.1158","2235.1972"
"74","Norwalk","102251","105544","-0.0312","4066.4546"
"75","Vacaville","102112","92557","0.1032","1349.1459"
"76","El Cajon","102042","99823","0.0222","2714.8722"
"77","Burbank","100835","103351","-0.0243","2248.4776"
"78","Tracy","100584","83620","0.2029","1499.9329"
"79","Chino","100401","78644","0.2767","1308.0899"
"80","Menifee","99770","77929","0.2803","828.9161"
"81","Hesperia","97224","90279","0.0769","516.3223"
"82","San Marcos","97032","83926","0.1562","1538.1518"
"83","Redding","94558","89895","0.0519","612.0853"
"84","Compton","94119","96442","-0.0241","3623.6409"
"85","Indio","93355","79665","0.1718","1084.8043"
"86","Mission Viejo","93293","93225","0.0007","2034.9435"
"87","Milpitas","92172","66729","0.3813","2606.5857"
"88","South Gate","92062","94434","-0.0251","4912.1478"
"89","Santa Barbara","91686","88468","0.0364","1815.1762"
"90","Carson","90930","91599","-0.0073","1874.3971"
"91","Westminster","90445","89772","0.0075","3478.4665"
